小区名称,均价(元/㎡),地址,板块,建成年份,在售套数,片区分类,经度,纬度,坐标精度,数据来源
天地源丹轩梓园,57737,高新-高新一中 高新路与科技二路交汇处,高新一中,2012,40,高新一期,108.899296,34.223554,道路交叉路口,房天下+高德
云顶园,24753,高新-高新一中 高新路89号,高新一中,2010,40,高新一期,108.897124,34.219047,门址,房天下+高德
紫薇臻品,12440,高新-科技路西口 科技路西段298号,科技路西口,2007,40,高新一期,108.881220,34.239039,门址,房天下+高德
兰亭坊,32963,高新-科技六路 高新科技六路30号,科技六路,2012,38,高新二期,108.898493,34.210820,门址,房天下+高德
国宾中央区,19925,高新-科技六路 丈八北路南端陕西宾馆正北侧,科技六路,2015,36,高新二期,108.873218,34.208019,住宅区,房天下+高德
中海华庭,13353,高新-高新四路 二环南路西段228号,高新四路,2006,36,高新一期,108.892635,34.245181,门址,房天下+高德
枫林华府,12425,高新-大寨路 科技路与团结南路十字向北500米路西,大寨路,2011,35,高新一期,108.878997,34.247618,住宅区,房天下+高德
创新公园,7244,高新-锦业路 创新路11号,锦业路,,32,高新二期,108.883846,34.252983,门牌号,房天下+高德
长安龙胤,62303,高新-科技六路 木塔寺路与木塔西路交叉路口,科技六路,2019,31,高新二期,108.892902,34.209019,道路,房天下+高德
枫叶新都市,18303,高新-科技路西口 科技路与唐延路交界处沣惠南路2号,科技路西口,2003,30,高新一期,108.885404,34.225208,住宅区,房天下+高德
逸翠园i都会,18210,高新-锦业路 唐延南路11号,锦业路,2010,30,高新二期,108.885614,34.185321,门址,房天下+高德
东方米兰国际城,16277,高新-鱼化寨 鱼镐路6号,鱼化寨,2015,29,软东,108.861051,34.229414,门址,房天下+高德
中建轨交山海境,15730,高新-软件新城 科技西路与云水四路交汇处东南角,软件新城,,29,软西,108.825787,34.229784,道路,房天下+高德
天地源枫林意树,23540,高新-科技六路 高新六路与科技六路交汇处,科技六路,2012,29,高新二期,108.878540,34.210346,住宅区,房天下+高德
