名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
华府新桃园,9525,高新-大寨路 大寨路1号,108.879854,34.239930,高新一期,二手房,2010,28
坤元TIME,24002,高新-科技六路 太白南路与电子三路交汇处路西,108.895419,34.200987,高新二期,二手房,2016,28
海亮新英里,14446,高新-西万路口 西沣路与雁环路交汇处西安高新国际部对面,108.879337,34.171371,高新二期,二手房,2017,27
融创星美御,25136,高新-锦业路 锦业一路与丈八四路西北角,108.860457,34.185900,高新二期,二手房,2019,27
高山流水和城,16038,高新-科技六路 西万路口西北角,108.888467,34.193675,高新二期,二手房,2014,25
招商臻观府,23136,高新-软件新城 科技西路与西三环交汇处,108.833731,34.229099,软件新城,二手房,2022,25
保利·天悦,27937,"高新-科技六路 高新区丈八北路以西,科技六路以北",108.861483,34.208406,高新二期,二手房,2019,24
龙城铭园,13041,高新-软件园 丈八北路89号,108.865156,34.217816,软件新城,二手房,2015,24
南飞鸿十年城,16595,高新-鱼化寨 科技二路西段与西三环交汇东南角,108.838335,34.217815,高新二期,二手房,2017,24
城市风景夏日景色,17218,高新-软件园 科技二路与丈八北路十字东南角,108.867413,34.216659,软件新城,二手房,2007,23
金泰观澜府,27036,高新-电子城 太白南路与丈八东路交汇处东北角,108.891843,34.193501,高新一期,二手房,2023,22
中天新希望·未来印,27731,高新-郭杜 经二十路东侧(西安高新第一中学初中新校区北侧..,108.835945,34.152497,高新三期,二手房,,22
九鼎城,18879,高新-软件园 科技四路与丈八北路十字东南角,108.867630,34.213237,软件新城,二手房,2014,21
万科翡翠天誉,21220,高新-软件园 科技二路与丈八北路交汇处,108.862909,34.218137,软件新城,二手房,2018,21
新西蓝一期,9860,高新-高新四路 科技路209号,108.884767,34.232022,高新一期,二手房,2006,21
枫叶苑南区,27167,高新-高新一中 雁塔区高新产业开发区高新二路高新一中南门东南..,108.890683,34.220147,高新二期,二手房,2000,20
建邦华庭,21421,高新-科技六路 科技六路6号,108.897710,34.204884,高新二期,二手房,2014,20
领南郡,16781,高新-科技六路 太白南路190号,108.903227,34.209439,高新二期,二手房,2014,20
紫薇华发CID中央首府云璟时光,,高新-大学城 达仁路669号,108.833910,34.130985,高新三期,二手房,,20
保利双水磨小区,14127,高新-科技六路 丈八北路与科技六路十字,108.868341,34.208353,高新二期,二手房,2020,18
复地优尚国际,11864,高新-软件园 鱼斗路158号,108.847051,34.222633,软件新城,二手房,2011,18
碧桂园·高新云墅,29777,高新-大学城 纬三十四路以北、经二十二路以西、纬三十二路以..,108.837549,34.146949,高新三期,二手房,,17
高新大都荟,12226,高新-高新四路 科技路与高新四路十字西北角,108.886299,34.231465,高新一期,二手房,2016,17
林隐天下,14812,高新-锦业路 陕西省西安市高新区信息大道1号,108.858776,34.162789,高新二期,二手房,2011,17
